,Loss_Train:,Acc_Train,Loss_Test:,Acc_Test
model0,1.9886053138309054,0.11123511904761904,1.9878800064325333,0.1044921875
model1,1.8275921950264582,0.3851686507936508,1.8312781602144241,0.3583984375
model2,1.7525591282617479,0.511656746031746,1.7610441893339157,0.4794921875
model3,1.773002410691882,0.43191964285714285,1.7785205841064453,0.40771484375
model4,1.6989117198520236,0.5631200396825397,1.7085791900753975,0.54638671875
model5,1.3548111291158766,0.6657986111111112,1.372116670012474,0.65185546875
model6,1.1649564182947552,0.6659226190476191,1.1785141825675964,0.65185546875
model7,1.3576006851499043,0.6615823412698413,1.379226915538311,0.6455078125
model8,1.085415850556086,0.6659226190476191,1.111581802368164,0.65185546875
